id,sentence,tane,henkei,type
69,坊っちゃんがぼっちゃんと水に飛び込む,坊ちゃん,ぼっちゃんと,併置型
70,高菜、あったかな？,高菜,あったかな,併置型
71,炭のすみか,炭,すみか,併置型
72,この寺の檀家はダンカン,檀家,ダンカン,併置型
73,ナウシカを誘う鹿,ナウシカ,誘う鹿,併置型
74,ノーベル賞の授与式は公開するから、ノーベールでしょう,ノーベル賞,ノーベールでしょう,併置型
75,バングラデシュのパンいくらでしゅ？,バングラデシュ,パンいくらでしゅ,併置型
76,大王が大をーされたようです,大王,大をーされたようです,併置型
77,スパイダーマンはスパイだっ,スパイダーマン,スパイだっ,併置型
78,キバの置き場,キバ,置き場,併置型
79,盲腸の手術の跡、もうちょっと何とかならないかな？,盲腸,もうちょっと,併置型
80,サイパンのキャラはサイパンダ,サイパン,サイパンダ,併置型
81,バチカンに多い昆虫は、ハチかん？,バチカン,ハチかん,併置型
82,綿花の仕事を始めんか？,綿花,始めんか,併置型
83,豊島園の年増えーんかい？,豊島園,年増えーん,併置型
84,モンゴルで顧問ゴルフ,モンゴル,顧問ゴルフ,併置型
85,いよかん食べたらいー予感,いよかん,いー予感,併置型
86,内股を打っちまったー,内股,打っちまったー,併置型
87,掃除機は正直,掃除機,正直,併置型
88,面倒だからといってやめんどー,面倒,やめんどー,併置型
89,キューバの寛容性を急場の菅、要請,キューバの寛容性,急場の菅、要請,併置型
90,懲戒されるの？　ああ、ちょうかい,懲戒,ちょうかい,併置型
91,キネなんか持って、どういう気ね？,キネ,どういう気ね,併置型
92,レストランは決めとらん,レストラン,決めとらん,併置型
93,投資家が食べるお通しか？,投資家,お通しか,併置型
94,ハモ二ヶ月でハモニカをマスター,ハモ二ヶ月,ハモニカ,併置型
95,抱いた遺骨が大腿骨,抱いた遺骨,大腿骨,併置型
96,ジーパンはいたおジーパン,ジーパン,ジーパン,併置型
97,缶コーヒー飲んで観光費を払う,缶コーヒー,観光費,併置型
98,姻戚が引責辞任,姻戚,引責,併置型
99,秋田はあきた,秋田,あきた,併置型
100,砂糖の安売りに人が殺到する,砂糖,殺到,併置型
101,キッチンをもっときっちんとしないと,キッチン,きっちんとしないと,併置型
102,アブク銭が水の中へ……「ブクブク」,アブク,ブクブク,併置型
103,百済と組んだら？,百済,組んだら,併置型
104,ユウコとゆこう,ユウコ,ゆこう,併置型
105,在りし日、ヤンキーズの試合観戦、アリ氏,在りし,アリ氏,併置型
106,この羽毛、重ぉ～,羽毛,重ぉ～,併置型
107,マスカラをつけますから,マスカラ,つけますから,併置型
108,豆満江で活躍しても、全く富まんコウ,豆満江,富まんコウ,併置型
109,理解するのは無理かい？,理解,無理かい,併置型
110,運だよねうんそうだよやっぱ運だよね,運,うん,併置型
111,会津は、あー、いずこ？,会津,あー、いずこ,併置型
112,夏季に食べた柿,夏季,柿,併置型
113,冥王星に姪を連れて行け,冥王星,姪を,併置型
114,キウイは急いは食べられない？,キウイ,急い,併置型
115,ダジャレを言うのは誰じゃ,ダジャレ,誰じゃ,併置型
116,競馬の結果でも書け～ば？,競馬,書け～ば,併置型
117,世界の為替かい？,世界,為替かい,併置型
118,有権者は投票に行けん,有権者,行けん,併置型
119,このバンドはボーカルの人が一番ぼーかるみたい,ボーカル,ぼーかる,併置型
120,中学時はチュウが九時,中学時,チュウが九時,併置型
121,だぼくで死んだ僕,だぼく,死んだ僕,併置型
122,サバンナに、朝晩な!,サバンナ,朝晩な,併置型
123,大阪大の無駄の多さ、課題,大阪大,多さ、課題,併置型
124,携帯に髪がはさまって、毛痛い電話？,携帯,毛痛い,併置型
125,福井で服いる？,福井,服いる,併置型
126,かつおだしは、しょせん、かつおだし…,かつおだし,かつおだし,併置型
127,クビになった人は、九尾の狐になって化けて出る,クビ,九尾,併置型
128,家内には敵いません,家内,敵いません,併置型
129,お弁当に、コメをつめこめる,コメ,つめこめる,併置型
130,業火に耐えたら、合格,業火,合格,併置型
131,【あいつは】幼女誘拐に酔う、女優かい？,幼女誘拐,酔う、女優かい,併置型
132,漫画コレクターが集まると、また始まるよ、自慢が,漫画,自慢が,併置型
133,ハイヤーについて廃案,ハイヤー,廃案,併置型
134,サイダーしか飲んでないっていうのに酒臭いだー,サイダー,臭いだー,併置型
135,今晩は、昆布の味噌汁,今晩,昆布,併置型
136,腹がへってはらはらした,腹,はらはら,併置型
